Sector,Revenue,RevenueRank,conter
Accounting/Finance,100M-500M,7,6467
Medical/Pharmaceutical,> 10B,12,6468
Online Service/Internet-based Services,10M-25M,4,6469
Online Service/Internet-based Services,5B-10B,11,6470
Accounting/Finance,> 10B,12,6471
Retail/Sales,1B-2B,9,6472
Medical/Pharmaceutical,25M-50M,5,6473
Medical/Pharmaceutical,10M-25M,4,6474
Shipping/Transportation,10M-25M,4,6475
Accounting/Finance,> 10B,12,6476
Computers/Technology,50M-100M,6,6477
Computers/Technology,> 10B,12,6478
Online Service/Internet-based Services,500M-1B,8,6479
Non-profit/Service,2M-5M,2,6480
Real Estate,100M-500M,7,6481
Computers/Technology,5B-10B,11,6482
Computers/Technology,> 10B,12,6483
Accounting/Finance,> 10B,12,6484
Retail/Sales,2B-5B,10,6485
Online Service/Internet-based Services,> 10B,12,6486
Computers/Technology,2B-5B,10,6487
Computers/Technology,> 10B,12,6488
Shipping/Transportation,> 10B,12,6489
Manufacturing/Fabrication,2B-5B,10,6490
Computers/Technology,> 10B,12,6491
Production,100M-500M,7,6492
Online Service/Internet-based Services,5B-10B,11,6493
Telco,500M-1B,8,6494
Online Service/Internet-based Services,100M-500M,7,6495
Medical/Pharmaceutical,2B-5B,10,6496
Military/Security/Defense,25M-50M,5,6497
Computers/Technology,5B-10B,11,6498
Academics/Education,500M-1B,8,6499
Telco,2B-5B,10,6500
Medical/Pharmaceutical,> 10B,12,6501
Shipping/Transportation,1B-2B,9,6502
Medical/Pharmaceutical,500M-1B,8,6503
Computers/Technology,2B-5B,10,6504
Computers/Technology,100M-500M,7,6505
Agriculture,10M-25M,4,6506
Manufacturing/Fabrication,> 10B,12,6507
Online Service/Internet-based Services,100M-500M,7,6508
Telco,100M-500M,7,6509
Retail/Sales,2B-5B,10,6510
Computers/Technology,100M-500M,7,6511
Accounting/Finance,> 10B,12,6512
Accounting/Finance,2B-5B,10,6513
Computers/Technology,> 10B,12,6514
Computers/Technology,100M-500M,7,6515
Computers/Technology,100M-500M,7,6516
Computers/Technology,10M-25M,4,6517
Online Service/Internet-based Services,50M-100M,6,6518
Military/Security/Defense,2B-5B,10,6519
Manufacturing/Fabrication,> 10B,12,6520
Accounting/Finance,5B-10B,11,6521
Online Service/Internet-based Services,10M-25M,4,6522
Accounting/Finance,100M-500M,7,6523
Manufacturing/Fabrication,100M-500M,7,6524
Medical/Pharmaceutical,> 10B,12,6525
Computers/Technology,10M-25M,4,6526
Computers/Technology,2B-5B,10,6527
Medical/Pharmaceutical,50M-100M,6,6528
Online Service/Internet-based Services,10M-25M,4,6529
Computers/Technology,5B-10B,11,6530
Computers/Technology,100M-500M,7,6531
Accounting/Finance,5B-10B,11,6532
Online Service/Internet-based Services,50M-100M,6,6533
Computers/Technology,> 10B,12,6534
Computers/Technology,10M-25M,4,6535
Computers/Technology,100M-500M,7,6536
Online Service/Internet-based Services,100M-500M,7,6537
Manufacturing/Fabrication,> 10B,12,6538
Online Service/Internet-based Services,10M-25M,4,6539
Manufacturing/Fabrication,10M-25M,4,6540
Manufacturing/Fabrication,25M-50M,5,6541
Manufacturing/Fabrication,25M-50M,5,6542
Computers/Technology,50M-100M,6,6543
Medical/Pharmaceutical,> 10B,12,6544
Computers/Technology,> 10B,12,6545
Online Service/Internet-based Services,10M-25M,4,6546
Manufacturing/Fabrication,> 10B,12,6547
Online Service/Internet-based Services,100M-500M,7,6548
Manufacturing/Fabrication,2M-5M,2,6549
Accounting/Finance,> 10B,12,6550
Military/Security/Defense,5M-10M,3,6551
Online Service/Internet-based Services,2M-5M,2,6552
Insurance/Risk Assessment,5B-10B,11,6553
Computers/Technology,> 10B,12,6554
Manufacturing/Fabrication,2B-5B,10,6555
Online Service/Internet-based Services,5M-10M,3,6556
Online Service/Internet-based Services,100M-500M,7,6557
Computers/Technology,500M-1B,8,6558
Retail/Sales,5B-10B,11,6559
Telco,100M-500M,7,6560
Academics/Education,1B-2B,9,6561
Medical/Pharmaceutical,100M-500M,7,6562
Accounting/Finance,> 10B,12,6563
Manufacturing/Fabrication,5B-10B,11,6564
Accounting/Finance,> 10B,12,6565
Computers/Technology,500M-1B,8,6566
Manufacturing/Fabrication,50M-100M,6,6567
Non-profit/Service,100M-500M,7,6568
Computers/Technology,2M-5M,2,6569
Online Service/Internet-based Services,10M-25M,4,6570
Accounting/Finance,> 10B,12,6571
Manufacturing/Fabrication,> 10B,12,6572
Manufacturing/Fabrication,1B-2B,9,6573
Online Service/Internet-based Services,2B-5B,10,6574
Telco,> 10B,12,6575
Computers/Technology,2B-5B,10,6576
Academics/Education,2B-5B,10,6577
Computers/Technology,> 10B,12,6578
Manufacturing/Fabrication,2B-5B,10,6579
Computers/Technology,2M-5M,2,6580
Agriculture,> 10B,12,6581
Telco,5B-10B,11,6582
Academics/Education,100M-500M,7,6583
Medical/Pharmaceutical,> 10B,12,6584
Computers/Technology,100M-500M,7,6585
Manufacturing/Fabrication,> 10B,12,6586
Online Service/Internet-based Services,500M-1B,8,6587
Manufacturing/Fabrication,100M-500M,7,6588
Medical/Pharmaceutical,2B-5B,10,6589
Manufacturing/Fabrication,> 10B,12,6590
Computers/Technology,2M-5M,2,6591
Manufacturing/Fabrication,1B-2B,9,6592
Computers/Technology,5B-10B,11,6593
Manufacturing/Fabrication,> 10B,12,6594
Computers/Technology,> 10B,12,6595
Computers/Technology,100M-500M,7,6596
Manufacturing/Fabrication,50M-100M,6,6597
Manufacturing/Fabrication,> 10B,12,6598
Online Service/Internet-based Services,5B-10B,11,6599
Manufacturing/Fabrication,5B-10B,11,6600
Online Service/Internet-based Services,10M-25M,4,6601
Computers/Technology,1B-2B,9,6602
Manufacturing/Fabrication,10M-25M,4,6603
Computers/Technology,> 10B,12,6604
Manufacturing/Fabrication,1B-2B,9,6605
Medical/Pharmaceutical,5M-10M,3,6606
Computers/Technology,> 10B,12,6607
Medical/Pharmaceutical,2B-5B,10,6608
Computers/Technology,100M-500M,7,6609
Retail/Sales,2M-5M,2,6610
Computers/Technology,2M-5M,2,6611
Computers/Technology,100M-500M,7,6612
Computers/Technology,5M-10M,3,6613
Online Service/Internet-based Services,100M-500M,7,6614
Medical/Pharmaceutical,> 10B,12,6615
Computers/Technology,50M-100M,6,6616
Academics/Education,5M-10M,3,6617
Computers/Technology,> 10B,12,6618
Online Service/Internet-based Services,100M-500M,7,6619
Retail/Sales,2B-5B,10,6620
Online Service/Internet-based Services,2M-5M,2,6621
Computers/Technology,500M-1B,8,6622
Accounting/Finance,> 10B,12,6623
Computers/Technology,100M-500M,7,6624
Online Service/Internet-based Services,100M-500M,7,6625
Retail/Sales,5B-10B,11,6626
Accounting/Finance,2B-5B,10,6627
Insurance/Risk Assessment,> 10B,12,6628
Computers/Technology,100M-500M,7,6629
Accounting/Finance,1M-2M,1,6630
Accounting/Finance,> 10B,12,6631
Manufacturing/Fabrication,> 10B,12,6632
Manufacturing/Fabrication,> 10B,12,6633
Non-profit/Service,2M-5M,2,6634
Retail/Sales,1B-2B,9,6635
Computers/Technology,100M-500M,7,6636
Medical/Pharmaceutical,5B-10B,11,6637
Medical/Pharmaceutical,1B-2B,9,6638
Computers/Technology,> 10B,12,6639
Shipping/Transportation,10M-25M,4,6640
Non-profit/Service,500M-1B,8,6641
Manufacturing/Fabrication,> 10B,12,6642
Medical/Pharmaceutical,1B-2B,9,6643
Online Service/Internet-based Services,2B-5B,10,6644
Computers/Technology,25M-50M,5,6645
Shipping/Transportation,> 10B,12,6646
Online Service/Internet-based Services,100M-500M,7,6647
Real Estate,5B-10B,11,6648
Retail/Sales,1B-2B,9,6649
Online Service/Internet-based Services,2M-5M,2,6650
Online Service/Internet-based Services,10M-25M,4,6651
Computers/Technology,10M-25M,4,6652
Telco,> 10B,12,6653
Computers/Technology,> 10B,12,6654
Agriculture,> 10B,12,6655
Broadcasting/Communications,50M-100M,6,6656
Online Service/Internet-based Services,2M-5M,2,6657
Computers/Technology,2B-5B,10,6658
